Fecha,Precio Cierre,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2017-10-30,21.60000038,0.37799999999999995,29.76480052364,4.1,-7.692304569362203
2017-10-31,21.78000069,0.37799999999999995,30.01284095082,4.1,0.833334753858002
2017-11-01,22.13999939,0.4,30.995999146,4.1,1.6528865408405937
2017-11-02,21.78000069,0.4,30.492000966,4.1,-1.6260104332369563
2017-11-03,22.13999939,0.4,30.995999146,4.1,1.6528865408405937
2017-11-06,21.60000038,0.4,30.240000532,4.1,-2.43901998589892
2017-11-07,21.60000038,0.4,30.240000532,4.1,0
2017-11-08,21.23999977,0.4,29.735999678,4.1,-1.6666694614197046
2017-11-09,21.60000038,0.4,30.240000532,4.1,1.6949181445306587
2017-11-10,20.700000760000002,0.4,28.980001064,4.1,-4.166664834104966
2017-11-13,21.23999977,0.4,29.735999678,4.1,2.608690773787193
2017-11-14,20.87999916,0.4,29.231998824,4.1,-1.6949181445306587
2017-11-15,21.60000038,0.4,30.240000532,4.1,3.4482818437048266
2017-11-16,26.10000038,0.4,36.540000532,4.1,20.833332966820993
2017-11-17,26.10000038,0.4,36.540000532,4.1,0
2017-11-20,27,0.4,37.8,4.1,3.4482743559255042
2017-11-21,26.63999939,0.4,37.295999146,4.1,-1.3333355925925932
2017-11-22,26.63999939,0.4,37.295999146,4.1,0
2017-11-24,26.10000038,0.4,36.540000532,4.1,-2.027023357225381
2017-11-27,24.299999239999998,0.4,34.01999893599999,4.1,-6.896555991544405
2017-11-28,22.5,0.4,31.499999999999996,4.1,-7.407404511507294
2017-11-29,22.5,0.4,31.499999999999996,4.1,0
2017-11-30,23.39999962,0.4,32.759999468,4.1,3.9999983111111073
2017-12-01,24.299999239999998,0.421,34.530298920039996,4.1,3.8461522846811014
2017-12-04,22.68000031,0.421,32.228280440510005,4.1,-6.666662471879146
2017-12-05,22.86000061,0.421,32.484060866810005,4.1,0.7936521055541363
2017-12-06,23.39999962,0.421,33.25139946002,4.1,2.3622003306674406
2017-12-07,22.5,0.421,31.9725,4.1,-3.8461522846811014
2017-12-08,22.5,0.421,31.9725,4.1,0
2017-12-11,23.39999962,0.421,33.25139946002,4.1,3.9999983111111073
2017-12-12,23.39999962,0.421,33.25139946002,4.1,0
2017-12-13,26.10000038,0.421,37.088100539980005,4.1,11.538464973701576
2017-12-14,24.84000015,0.421,35.297640213150004,4.1,-4.827587017835895
2017-12-15,26.10000038,0.421,37.088100539980005,4.1,5.072464663411039
2017-12-18,25.200000760000002,0.421,35.809201079960005,4.1,-3.4482743559255042
2017-12-19,25.73999977,0.421,36.57653967317,4.1,2.14285314965998
2017-12-20,25.200000760000002,0.421,35.809201079960005,4.1,-2.0978982704940363
2017-12-21,24.299999239999998,0.421,34.530298920039996,4.1,-3.571434495464688
2017-12-22,25.200000760000002,0.421,35.809201079960005,4.1,3.7037100746839515
2017-12-26,23.39999962,0.421,33.25139946002,4.1,-7.142861451247046
2017-12-27,24.47999954,0.421,34.78607934634,4.1,4.6153843484549695
2017-12-28,24.299999239999998,0.421,34.530298920039996,4.1,-0.7352953569540925
2017-12-29,24.299999239999998,0.421,34.530298920039996,4.1,0
2018-01-02,24.299999239999998,0.442,35.04059890408,2.8,0
2018-01-03,26.10000038,0.442,37.63620054796,2.8,7.407412330437599
2018-01-04,27,0.442,38.934,2.8,3.4482743559255042
2018-01-05,27,0.442,38.934,2.8,0
2018-01-08,29.700000760000002,0.442,42.82740109592,2.8,10.000002814814822
2018-01-09,32.04000092,0.442,46.20168132663999,2.8,7.8787882158963125
2018-01-10,31.5,0.442,45.423,2.8,-1.68539608144305
2018-01-11,31.5,0.442,45.423,2.8,0
2018-01-12,29.700000760000002,0.442,42.82740109592,2.8,-5.714283301587296
2018-01-16,29.700000760000002,0.442,42.82740109592,2.8,0
2018-01-17,28.799999239999998,0.442,41.52959890408,2.8,-3.0303080706049235
2018-01-18,27.89999962,0.442,40.23179945204,2.8,-3.124998763020798
2018-01-19,28.799999239999998,0.442,41.52959890408,2.8,3.225805133541429
2018-01-22,29.700000760000002,0.442,42.82740109592,2.8,3.1250053602432097
2018-01-23,30.23999977,0.442,43.60607966834,2.8,1.8181784383227029
